weather_severity,system_load,staffing_level,incident_type,delay_minutes,disruption,estimated_cost
2,Medium,Adequate,None,77,0,4027.8
1,High,Adequate,None,69,0,3734.35
3,Low,Adequate,Minor,177,1,13989.37
2,Medium,Adequate,None,100,0,4573.19
0,Low,Low,None,159,0,10130.75
1,High,Adequate,None,2,0,107.24
0,High,Adequate,Minor,85,1,9385.84
0,Low,Adequate,None,73,0,3761.0
2,High,Adequate,Minor,50,1,11161.99
1,High,Adequate,None,66,0,4123.02
3,Low,Low,Major,75,1,11139.32
3,Medium,Adequate,Major,92,1,7419.5
2,High,Adequate,None,175,1,12278.25
2,Low,Adequate,None,144,0,9737.67
1,Medium,Adequate,None,6,0,344.69
3,Low,Low,None,12,1,7753.19
3,High,Low,Minor,119,1,14830.44
3,High,Adequate,Minor,65,1,8258.01
0,High,Adequate,Minor,3,1,3429.72
3,Medium,Low,Minor,137,1,14636.56
0,High,Low,None,87,1,9806.62
1,High,Adequate,None,16,0,701.95
0,Medium,Low,Minor,51,1,8335.54
1,High,Adequate,None,133,0,9056.92
3,Low,Adequate,Minor,68,1,10201.1
3,Medium,Adequate,None,136,1,14485.82
1,Low,Low,None,20,0,1258.46
2,Low,Low,Major,23,1,8959.7
1,Low,Adequate,None,3,0,123.27
2,Medium,Adequate,Major,151,1,11542.56
0,Medium,Adequate,Major,2,1,4526.03
0,High,Low,Minor,67,1,9736.85
0,Low,Adequate,Minor,100,0,5113.81
3,Medium,Adequate,None,167,1,13052.06
0,Medium,Adequate,Major,175,1,16457.88
2,High,Adequate,None,53,1,6749.97
0,Medium,Adequate,None,34,0,1774.49
1,Medium,Adequate,Minor,55,0,3000.37
1,High,Low,None,107,1,12290.76
3,Medium,Adequate,None,39,1,6933.96
1,Low,Low,None,67,0,3025.07
2,Low,Adequate,None,45,0,2890.57
0,High,Adequate,Major,77,1,12348.63
3,Low,Low,None,140,1,15271.43
0,High,Low,Major,154,1,13559.86
0,Medium,Low,Minor,5,1,7153.66
2,High,Adequate,Minor,16,1,6749.29
1,High,Adequate,None,163,0,9775.59
1,High,Low,Minor,98,1,10330.56
0,Medium,Adequate,None,80,0,4734.5
3,High,Adequate,Minor,1,1,3367.82
1,Medium,Low,None,76,1,10088.89
3,Medium,Low,Major,179,1,18133.26
1,Medium,Adequate,Major,65,1,8461.44
3,High,Adequate,None,51,1,7167.6
2,High,Adequate,None,91,1,9306.21
3,High,Low,Minor,170,1,17367.73
2,Medium,Low,None,21,1,7375.88
2,Medium,Adequate,Major,110,1,12222.36
3,High,Low,None,106,1,12845.89
2,Low,Low,None,66,1,6564.0
0,Low,Low,Major,139,1,13825.77
2,Medium,Adequate,Minor,68,1,12153.71
1,Low,Adequate,Minor,83,0,5027.42
3,Low,Adequate,None,102,0,6708.48
0,Low,Adequate,Minor,38,0,1621.2
3,Low,Low,None,12,1,7910.41
1,Low,Adequate,Minor,40,0,1984.74
1,High,Low,Minor,56,1,10254.7
1,Medium,Adequate,None,11,0,518.99
2,Medium,Adequate,None,12,0,630.47
2,Medium,Adequate,None,119,0,5656.76
3,Low,Adequate,Minor,96,1,9688.03
3,High,Adequate,None,56,1,7478.24
0,High,Low,Minor,39,1,8822.98
0,Low,Adequate,None,117,0,6688.72
3,Medium,Adequate,Minor,79,1,7840.47
2,High,Adequate,Minor,127,1,11504.15
1,High,Adequate,None,172,0,10731.69
3,Medium,Adequate,None,34,1,7152.94
0,Medium,Low,None,2,0,125.41
2,Low,Adequate,Minor,119,0,5945.24
3,High,Low,Minor,4,1,6677.03
3,Low,Adequate,None,10,0,445.59
2,High,Adequate,Minor,125,1,9462.66
3,Medium,Adequate,None,70,1,10605.98
2,Medium,Adequate,None,116,0,7450.8
1,Medium,Adequate,Major,137,1,11924.45
2,Low,Low,None,105,1,8891.5
2,Low,Adequate,None,115,0,5054.4
2,Low,Low,None,161,1,15028.5
3,Low,Adequate,None,66,0,3894.89
3,High,Low,None,30,1,8080.45
2,Medium,Low,None,74,1,7394.38
3,Low,Adequate,Minor,70,1,7381.76
0,High,Low,None,65,1,6912.04
0,High,Adequate,None,69,0,3242.7
3,High,Low,None,40,1,5982.23
3,High,Low,None,159,1,15814.7
2,Low,Adequate,Minor,19,0,1155.66
1,Medium,Low,Major,177,1,10911.96
3,High,Low,None,152,1,11984.3
0,Medium,Adequate,Major,139,1,14707.26
2,Low,Low,None,38,1,7740.37
3,High,Adequate,None,144,1,10898.31
0,Low,Low,None,44,0,2802.97
0,Low,Low,None,138,0,6421.61
1,Medium,Adequate,None,69,0,4161.47
2,Medium,Low,Minor,124,1,11984.36
2,Medium,Low,None,150,1,13417.43
1,Low,Adequate,Major,90,1,10183.81
1,High,Low,None,69,1,10516.57
2,Low,Adequate,None,165,0,8359.87
2,Low,Low,Minor,129,1,14176.28
3,High,Adequate,None,83,1,7383.27
3,High,Adequate,None,88,1,8984.45
1,High,Adequate,Minor,78,1,9901.26
3,High,Adequate,Major,112,1,13438.04
0,Medium,Adequate,Minor,92,0,4515.64
3,Medium,Adequate,Minor,71,1,10138.78
3,Low,Low,Minor,164,1,14859.82
0,Medium,Adequate,Major,48,1,6894.26
1,Medium,Adequate,None,51,0,2873.98
0,Low,Adequate,None,32,0,1915.01
3,High,Adequate,None,21,1,5197.37
1,Medium,Adequate,None,113,0,4854.07
3,Low,Low,Minor,132,1,13002.83
0,Low,Low,Minor,17,0,1041.54
0,Medium,Adequate,None,165,0,10677.54
3,Low,Adequate,None,117,0,7688.17
2,High,Adequate,Minor,116,1,11617.32
2,Medium,Adequate,None,36,0,1536.49
0,Medium,Adequate,Minor,63,0,3347.41
0,Medium,Adequate,None,137,0,6428.32
2,High,Low,None,78,1,10468.41
2,Medium,Low,None,169,1,18031.78
3,Medium,Adequate,None,122,1,9119.34
3,Medium,Adequate,Minor,175,1,14832.9
2,Low,Low,Major,43,1,9760.67
3,High,Adequate,Minor,81,1,9437.91
3,High,Adequate,None,86,1,9427.89
1,Medium,Adequate,None,15,0,751.81
3,High,Adequate,Minor,53,1,5891.64
0,High,Adequate,Minor,101,1,12900.14
3,High,Low,None,162,1,16029.0
3,High,Adequate,None,97,1,9232.5
2,Medium,Adequate,Minor,155,1,12499.1
0,Medium,Low,None,1,0,68.0
3,Medium,Adequate,None,93,1,10633.56
3,High,Adequate,None,140,1,9760.72
1,Low,Adequate,None,168,0,9558.35
3,High,Adequate,Major,58,1,10475.86
3,High,Low,Major,68,1,9691.33
1,Low,Adequate,None,118,0,5562.96
2,High,Adequate,None,91,1,9965.25
3,Low,Adequate,None,44,0,1985.83
1,Medium,Low,None,147,1,12766.11
0,High,Adequate,None,23,0,1313.43
2,Low,Adequate,Minor,90,0,5926.98
0,High,Low,None,93,1,9715.89
0,High,Low,None,57,1,10327.77
1,Medium,Adequate,None,154,0,9297.77
3,Low,Adequate,None,153,0,6460.0
1,Low,Low,None,127,0,8862.69
1,Medium,Adequate,None,6,0,313.42
1,High,Adequate,Major,169,1,15824.42
1,Medium,Adequate,None,46,0,2609.87
2,Low,Low,None,52,1,5608.07
3,Medium,Adequate,Major,37,1,7689.67
0,Medium,Low,Major,52,1,7146.43
0,High,Adequate,None,142,0,7595.23
3,Low,Low,Minor,153,1,14220.28
0,High,Low,None,47,1,10592.11
3,Medium,Adequate,None,94,1,12646.3
0,High,Low,None,146,1,14064.08
1,Medium,Adequate,Minor,136,0,6584.26
0,Medium,Low,Minor,63,1,6739.22
3,High,Adequate,None,92,1,10924.83
3,Low,Low,None,124,1,9130.83
3,High,Low,Minor,178,1,18438.16
3,Medium,Low,None,38,1,5622.31
3,Low,Adequate,None,3,0,207.76
2,Medium,Adequate,Minor,125,1,10696.56
2,High,Adequate,Minor,2,1,6190.35
0,Low,Adequate,Minor,63,0,3140.4
3,Medium,Adequate,Major,28,1,5927.16
0,Medium,Low,None,115,0,7601.59
3,Medium,Adequate,Minor,10,1,3939.06
3,Low,Adequate,Minor,96,1,10259.11
2,High,Adequate,None,101,1,10945.67
2,High,Adequate,None,154,1,14198.14
1,High,Low,None,20,1,6790.75
2,High,Adequate,None,38,1,7149.12
1,Low,Adequate,Minor,101,0,7037.52
1,High,Adequate,Minor,45,1,5006.14
1,Low,Adequate,None,65,0,3292.28
1,Low,Low,None,90,0,4901.13
1,Medium,Low,Major,163,1,16348.1
0,Medium,Adequate,None,110,0,5442.59
2,High,Adequate,None,81,1,10951.03
1,Medium,Low,None,122,1,15318.06
3,Medium,Low,None,98,1,11886.21
2,Low,Low,None,34,1,5270.98
2,High,Low,None,158,1,13724.3
1,Medium,Adequate,None,155,0,8760.04
0,Medium,Adequate,None,102,0,6607.22
1,Low,Low,None,128,0,6285.46
0,High,Adequate,None,24,0,1246.9
3,Medium,Low,Minor,42,1,6026.11
2,Low,Low,Minor,83,1,11340.41
3,Low,Adequate,None,50,0,2428.37
0,Medium,Adequate,None,129,0,8881.44
0,Medium,Adequate,Minor,125,0,6173.17
3,Low,Low,None,68,1,6061.7
0,High,Adequate,None,8,0,446.44
3,Low,Adequate,Minor,1,1,6983.09
2,Medium,Adequate,Major,161,1,11269.1
3,High,Adequate,Minor,158,1,13903.29
2,Medium,Adequate,None,9,0,485.37
3,Medium,Low,Minor,113,1,9190.37
0,Medium,Low,None,75,0,4799.31
3,Low,Low,Minor,163,1,14029.18
0,High,Low,None,84,1,9123.06
3,Medium,Adequate,None,48,1,7492.78
3,High,Adequate,Minor,69,1,8957.78
1,Low,Adequate,None,176,0,11126.69
0,Low,Low,None,130,0,5403.08
1,Low,Adequate,Major,132,1,8476.63
0,Medium,Adequate,None,89,0,5684.1
1,Medium,Adequate,None,25,0,1357.86
2,High,Adequate,None,71,1,7612.14
3,Medium,Adequate,Minor,4,1,7522.97
0,High,Adequate,Minor,14,1,7685.37
0,Low,Low,None,122,0,8025.78
3,High,Adequate,Minor,143,1,14239.89
0,High,Low,None,0,1,3654.66
0,High,Low,Minor,143,1,14433.3
1,High,Low,None,164,1,15388.57
0,High,Adequate,None,2,0,137.95
2,Medium,Adequate,Major,179,1,11641.0
2,Low,Adequate,None,46,0,2959.32
3,Low,Low,None,94,1,7945.93
0,High,Adequate,None,12,0,556.87
3,Medium,Adequate,Major,119,1,14494.81
2,High,Adequate,None,54,1,8139.02
0,Medium,Adequate,None,148,0,10056.06
0,Low,Low,None,65,0,2773.57
3,Low,Low,None,154,1,15538.63
2,Medium,Adequate,None,165,0,11146.68
0,Medium,Low,Minor,89,1,12903.03
3,Low,Adequate,Major,61,1,8038.73
2,Medium,Adequate,None,101,0,5150.91
3,Low,Adequate,None,173,0,10133.24
1,Medium,Low,None,138,1,11492.99
0,Low,Low,None,7,0,483.28
1,High,Low,Major,96,1,13582.37
2,Medium,Adequate,None,116,0,5220.99
1,Medium,Adequate,None,63,0,2748.98
1,Low,Low,Minor,20,1,6190.04
2,Low,Adequate,None,114,0,7670.3
3,Medium,Adequate,Minor,84,1,10612.86
1,Medium,Low,None,19,1,8053.1
3,Medium,Adequate,Minor,7,1,3538.39
1,Low,Adequate,Major,57,1,8643.61
3,Medium,Low,Minor,45,1,8129.95
2,High,Low,Major,30,1,8554.25
1,High,Adequate,None,92,0,6250.91
2,Low,Adequate,None,8,0,538.02
1,Medium,Adequate,Minor,14,0,888.14
2,Low,Adequate,None,93,0,3774.13
2,Low,Low,None,153,1,12207.24
1,High,Low,None,137,1,12470.56
1,Low,Adequate,None,28,0,1351.16
1,Medium,Low,None,79,1,8574.15
0,Medium,Low,None,35,0,2065.58
3,High,Adequate,Minor,83,1,10562.51
0,Medium,Adequate,None,108,0,7265.18
0,Low,Adequate,None,117,0,8041.76
2,Medium,Adequate,None,36,0,1523.93
1,Medium,Low,None,85,1,10343.12
3,Low,Adequate,Major,70,1,10255.12
2,Medium,Low,None,150,1,13004.44
0,Low,Adequate,None,168,0,7625.44
1,Low,Adequate,Minor,92,0,5275.48
2,Medium,Adequate,None,79,0,5430.41
1,Low,Adequate,None,101,0,5564.31
2,Medium,Adequate,None,155,0,6585.55
1,Medium,Low,Major,175,1,15239.45
0,High,Adequate,None,165,0,8284.1
3,Low,Adequate,None,158,0,10377.09
0,Low,Low,None,13,0,689.52
3,Low,Adequate,None,116,0,5311.08
1,Medium,Adequate,None,72,0,3292.79
2,High,Low,None,90,1,11553.17
0,Low,Adequate,None,89,0,4269.12
3,High,Adequate,Major,28,1,7339.11
0,Low,Adequate,Minor,178,0,8219.44
3,Medium,Adequate,None,48,1,8697.76
0,High,Adequate,Minor,170,1,16436.68
3,High,Adequate,None,71,1,9138.7
3,High,Adequate,None,132,1,14427.23
1,High,Low,Minor,41,1,9772.09
3,Medium,Adequate,Minor,134,1,11466.25
1,High,Adequate,Minor,41,1,7798.99
3,Low,Low,None,163,1,12464.81
2,High,Adequate,Major,104,1,11627.09
2,Medium,Adequate,None,26,0,1742.59
2,High,Low,Major,57,1,11666.49
3,Medium,Adequate,Major,45,1,8896.13
1,Medium,Adequate,None,65,0,3558.89
1,Medium,Adequate,Minor,24,0,1605.29
3,High,Low,None,72,1,10571.13
2,Low,Low,None,116,1,9902.29
2,Low,Adequate,None,154,0,7638.68
1,Low,Adequate,None,128,0,6739.61
2,Low,Low,Major,86,1,9527.85
0,High,Adequate,Minor,73,1,11014.74
1,Low,Low,None,169,0,6951.57
2,High,Low,Minor,179,1,16306.82
1,Medium,Adequate,Major,152,1,12549.46
0,Low,Adequate,None,124,0,5154.73
1,High,Low,Major,66,1,6115.94
1,Medium,Adequate,None,5,0,320.29
1,Medium,Low,Minor,124,1,13676.16
1,Medium,Adequate,None,57,0,3106.04
0,High,Adequate,None,69,0,3621.27
3,Low,Low,None,52,1,11508.69
1,High,Low,Minor,65,1,7742.46
1,High,Adequate,None,57,0,2648.26
2,Medium,Adequate,None,81,0,3949.24
1,Low,Adequate,None,86,0,3885.71
2,Medium,Low,Major,1,1,6928.43
3,Low,Adequate,None,149,0,10031.43
0,Low,Adequate,None,36,0,2104.58
0,Low,Adequate,None,147,0,7696.68
3,Medium,Adequate,None,102,1,12798.44
0,High,Adequate,Minor,23,1,5221.65
3,High,Adequate,Minor,111,1,9280.53
3,High,Adequate,None,64,1,6704.14
3,Medium,Adequate,None,128,1,11135.43
0,Medium,Adequate,Minor,116,0,4777.66
2,Medium,Low,None,115,1,9574.88
3,High,Adequate,Minor,104,1,14114.65
1,Low,Adequate,Minor,2,0,121.88
0,High,Adequate,Minor,45,1,6313.11
3,Medium,Low,None,54,1,6674.72
3,Medium,Low,None,74,1,9106.13
1,High,Adequate,Major,44,1,5644.01
2,Medium,Low,None,153,1,14023.15
2,High,Adequate,Minor,76,1,13008.08
2,High,Low,None,23,1,5481.61
3,Medium,Low,Minor,34,1,6934.08
3,Low,Low,None,23,1,4559.42
3,Medium,Low,None,27,1,7686.89
0,High,Adequate,None,15,0,739.52
1,Low,Low,Minor,58,1,8083.12
3,Medium,Adequate,Minor,143,1,13474.27
1,Medium,Adequate,None,14,0,842.66
1,High,Adequate,None,10,0,414.09
2,Low,Adequate,Minor,78,0,4445.2
0,High,Adequate,None,114,0,7170.47
3,High,Adequate,None,67,1,8779.73
2,Low,Low,None,42,1,9261.49
2,Low,Adequate,None,68,0,4520.29
3,High,Adequate,None,140,1,12612.84
1,Low,Adequate,None,137,0,8573.71
2,High,Adequate,None,74,1,7586.83
1,Medium,Adequate,None,102,0,5447.12
0,Low,Adequate,None,40,0,1608.52
1,High,Adequate,None,177,0,11431.0
0,Medium,Adequate,None,58,0,2946.1
1,Medium,Low,Minor,38,1,8350.64
2,Medium,Adequate,None,2,0,120.64
2,Medium,Low,None,6,1,8150.55
0,Low,Low,None,48,0,3296.61
3,Medium,Adequate,None,25,1,9209.43
0,High,Low,None,160,1,15826.08
0,Low,Low,None,100,0,6861.11
1,Medium,Low,Major,175,1,17388.79
1,Medium,Adequate,None,78,0,3817.67
0,High,Adequate,Major,1,1,4307.11
2,Low,Adequate,None,126,0,8224.86
1,High,Adequate,None,159,0,8087.61
3,Medium,Adequate,None,131,1,12310.3
1,Low,Low,None,19,0,1028.37
1,Low,Adequate,None,116,0,5332.28
3,Low,Adequate,Minor,163,1,13871.93
0,Medium,Adequate,None,31,0,1296.44
3,Medium,Low,Major,27,1,5270.32
0,High,Adequate,Minor,76,1,11652.55
0,Medium,Adequate,None,0,0,0.0
0,Low,Low,None,55,0,3435.31
3,Medium,Adequate,None,34,1,8454.95
0,High,Low,None,111,1,13276.52
2,Low,Low,None,29,1,8974.87
3,Low,Adequate,None,53,0,2428.66
2,Low,Low,None,35,1,6203.1
0,High,Adequate,None,79,0,5375.53
1,Medium,Adequate,Major,57,1,11368.45
0,Medium,Low,Minor,82,1,11955.57
2,High,Adequate,Major,64,1,9970.98
2,High,Low,None,68,1,7053.49
3,Medium,Low,None,127,1,12442.77
1,High,Low,None,50,1,6393.97
3,Low,Low,None,21,1,4765.66
2,Low,Low,None,106,1,14302.67
0,Low,Adequate,Minor,108,0,5099.91
1,Low,Adequate,Minor,115,0,5427.82
0,Medium,Low,None,100,0,4250.14
